instance_name,best_model,local_max_k
6s385rb444,linear,10
oski15a08b03s,linear,10
mentorbm1p07,linear,10
oski15a14b09s,linear,10
rast-p03,linear,10
bobsynthor,linear,10
oski15a01b05s,linear,10
beemlmprt8f1,exponential,23
bj08amba5g62,linear,10
oski15a01b43s,linear,10
oski15a01b77s,linear,10
bobtuint17neg,polynomial,-1
eijks820,polynomial,-1
eijks444,exponential,22
qspiflash_qflexpress_divfive-p107,exponential,27
neclaftp2001,linear,10
paper_v3,polynomial,-1
arbitrated_top_n4_w64_d32_e0,polynomial,-1
beemextnc3f1,exponential,27
shift_register_top_w64_d8_e0,exponential,15
139442p0,linear,10
viscoherencep3,polynomial,-1
intel026,polynomial,-1
6s404rb4,polynomial,-1
cal4,exponential,5
arbitrated_top_n4_w16_d64_e0,exponential,29
dspfilters_fastfir_second-p04,linear,10
cal125,exponential,5
6s38,polynomial,-1
power2eq2048,polynomial,-1
qspiflash_qflexpress_divfive-p079,polynomial,-1
marlann_compute_cp_pass-p2,linear,10
rast-p00,polynomial,-1
mul9,linear,10
cal99,exponential,5
beemlifts2b1,polynomial,-1
qspiflash_dualflexpress_divfive-p128,linear,10
prodcellp0neg,linear,10
texaspimainp01,linear,10
qspiflash_dualflexpress_divfive-p050,polynomial,-1
pdtpmsarbiter,polynomial,-1
oski15a07b1s,None,5
6s13,exponential,5
intel007,polynomial,-1
nusmvreactorp3,linear,10
pdtpmsrotate32,linear,10
6s215rb0,linear,10
6s194,polynomial,-1
power2sum256,polynomial,-1
pdtvisns3p02,polynomial,-1
qspiflash_dualflexpress_divfive-p133,polynomial,-1
kenflashp08,linear,10
qspiflash_dualflexpress_divthree-p124,polynomial,-1
dspfilters_fastfir_second-p21,linear,10
139453p0,linear,10
qspiflash_dualflexpress_divthree-p046,linear,10
nusmvreactorp6,polynomial,-1
bobsmdct,linear,10
