instance_name,best_model,local_max_k
pdtpmsblackjack,nonlinear,10.0
pdtpmscoherence,nonlinear,10.0
pdtpmsns2,nonlinear,10.0
pdtpmsretherrtf,linear,10.0
pdtpmsrotate32,nonlinear,10.0
pdtpmss1269b,linear,10.0
pdtpmstwo,nonlinear,10.0
pdtpmsusbphy,nonlinear,10.0
pdtswvibs8x8p0,nonlinear,10.0
pdtswvsam6x8p1,nonlinear,10.0
pdtswvtma6x4p1,linear,10.0
pdtswvtms12x8p1,nonlinear,10.0
pdtswvtms14x8p1,nonlinear,10.0
pdtvisbakery2,nonlinear,10.0
pdtvisblackjack0,linear,10.0
pdtvisblackjack1,linear,10.0
pdtvisblackjack2,linear,10.0
pdtviscoherence4,nonlinear,10.0
pdtvisgigamax3,nonlinear,10.0
pdtvisgigamax4,nonlinear,10.0
pdtvisgoodbakery0,nonlinear,10.0
pdtvisgray0,linear,10.0
pdtvishuffman1,linear,10.0
pdtvisminmax0,linear,10.0
pdtvisminmaxr1,linear,10.0
pdtvisns2p3,linear,10.0
pdtvisns3p02,nonlinear,10.0
pdtvisretherrtf1,linear,10.0
pdtvisrethersqo0,linear,10.0
pdtvissoap2,nonlinear,10.0
pdtvistimeout0,nonlinear,10.0
pdtvistwoall3,linear,10.0
pdtvisvending00,nonlinear,10.0
pdtvisvending07,nonlinear,10.0
pdtvisvending09,nonlinear,10.0
pdtvisvsa16a10,linear,10.0
pdtvisvsa16a16,linear,10.0
pdtvisvsa16a27,nonlinear,10.0
pdtvisvsar22,linear,10.0
pdtvsar8multip13,linear,10.0
pdtvsar8multip16,linear,10.0
pdtvsar8multip23,nonlinear,10.0
pdtvsarmultip08,linear,10.0
pdtvsarmultip13,linear,10.0
pdtvsarmultip29,nonlinear,10.0
pdtvsarmultip30,linear,10.0
picorv32-check-p05,nonlinear,10.0
picorv32-check-p09,nonlinear,10.0
picorv32-check-p12,nonlinear,10.0
picorv32-check-p19,nonlinear,10.0
picorv32-check-p20,nonlinear,10.0
picorv32-check-p22,nonlinear,10.0
picorv32_mutAX_nomem-p2,nonlinear,10.0
picorv32_mutAX_nomem-p5,nonlinear,10.0
picorv32_mutAY_nomem-p4,nonlinear,10.0
picorv32_mutAY_nomem-p6,nonlinear,10.0
picorv32_mutBX_nomem-p5,nonlinear,10.0
picorv32_mutBY_nomem-p1,nonlinear,10.0
picorv32_mutBY_nomem-p3,nonlinear,10.0
picorv32_mutBY_nomem-p4,nonlinear,10.0
picorv32_mutBY_nomem-p6,nonlinear,10.0
picorv32_mutBY_nomem-p7,nonlinear,10.0
picorv32_mutCX_nomem-p0,nonlinear,10.0
picorv32_mutCY_nomem-p0,nonlinear,10.0
picorv32_mutCY_nomem-p3,nonlinear,10.0
pj2002,nonlinear,10.0
pj2003,nonlinear,10.0
pj2006,nonlinear,10.0
pj2007,linear,10.0
pj2010,nonlinear,10.0
pj2015,nonlinear,10.0
pj2016,nonlinear,10.0
pj2018,nonlinear,10.0
power2bit128,linear,10.0
power2bit8,linear,10.0
power2eq2048,linear,10.0
power2eq32768,linear,10.0
power2eq65536,linear,10.0
power2sum128,linear,10.0
power2sum256,linear,10.0
power2sum32,linear,10.0
prodcellp0neg,linear,10.0
prodcellp1,linear,10.0
prodcellp2neg,linear,10.0
prodcellp4,linear,10.0
productioncellp0,linear,10.0
qspiflash_dualflexpress_divfive-p007,nonlinear,10.0
qspiflash_dualflexpress_divfive-p009,linear,10.0
qspiflash_dualflexpress_divfive-p016,linear,10.0
qspiflash_dualflexpress_divfive-p022,linear,10.0
qspiflash_dualflexpress_divfive-p037,linear,10.0
qspiflash_dualflexpress_divfive-p050,nonlinear,10.0
