instance_name,K,category,formula_size,proofdoor_size,formula-pd-size-ratio,smallest_interpolant_size,largest_interpolant_size,cadical_solving_time
6s7,4,exponential,1990038,926,2149.07,64,712,
abp4p2ff,1,exponential,211142,1,211142.00,1,1,
abp4p2ff,2,exponential,340721,3,113573.67,1,2,
abp4p2ff,3,exponential,453550,6,75591.67,1,3,
abp4p2ff,4,exponential,595488,10,59548.80,1,4,
abp4p2ff,5,exponential,729141,17,42890.65,1,7,
abp4p2ff,6,exponential,850266,28,30366.64,1,11,
abp4p2ff,7,exponential,971390,38,25562.89,1,12,
abp4p2ff,8,exponential,1092514,109,10023.06,1,33,
abp4p2ff,9,exponential,1271778,950,1338.71,8,281,
abp4p2ff,10,exponential,1398708,1352,1034.55,8,435,
abp4p2ff,11,exponential,1555597,4718,329.72,22,1024,
arbitrated_top_n2_w128_d32_e0,1,exponential,16046681,2,8023340.50,2,2,
arbitrated_top_n2_w128_d32_e0,2,exponential,24975832,30,832527.73,15,15,
arbitrated_top_n2_w128_d32_e0,3,exponential,33818733,2488,13592.74,283,1567,
arbitrated_top_n2_w128_d64_e0,1,exponential,33178189,2,16589094.50,2,2,
arbitrated_top_n2_w128_d64_e0,2,exponential,51544634,34,1516018.65,17,17,
arbitrated_top_n2_w64_d64_e0,1,exponential,16034405,2,8017202.50,2,2,
arbitrated_top_n2_w64_d64_e0,2,exponential,24956725,26,959874.04,9,17,
arbitrated_top_n2_w64_d64_e0,3,exponential,33792861,1156,29232.58,159,727,
arbitrated_top_n2_w64_d64_e0,4,exponential,42241058,26060,1620.92,222,21611,
arbitrated_top_n2_w8_d128_e0,1,exponential,4272590,2,2136295.00,2,2,
arbitrated_top_n2_w8_d128_e0,2,exponential,6794925,29,234307.76,10,19,
arbitrated_top_n2_w8_d128_e0,3,exponential,9059878,649,13959.75,49,354,
arbitrated_top_n2_w8_d128_e0,4,exponential,11775227,11722,1004.54,59,9684,
arbitrated_top_n2_w8_d128_e0,5,exponential,14361925,13112,1095.33,66,5573,
arbitrated_top_n2_w8_d32_e0,1,exponential,1067334,2,533667.00,2,2,
arbitrated_top_n2_w8_d32_e0,2,exponential,1710626,30,57020.87,15,15,
arbitrated_top_n2_w8_d32_e0,3,exponential,2280814,625,3649.30,43,340,
arbitrated_top_n2_w8_d32_e0,4,exponential,2978909,1837,1621.62,50,795,
arbitrated_top_n2_w8_d32_e0,5,exponential,3640494,8001,455.00,59,6416,
arbitrated_top_n2_w8_d64_e0,1,exponential,2108574,2,1054287.00,2,2,
arbitrated_top_n2_w8_d64_e0,2,exponential,3365573,34,98987.44,17,17,
arbitrated_top_n2_w8_d64_e0,3,exponential,4487410,383,11716.48,55,260,
arbitrated_top_n2_w8_d64_e0,4,exponential,5845758,2507,2331.77,55,1518,
arbitrated_top_n2_w8_d64_e0,5,exponential,7136565,13076,545.78,69,8008,
arbitrated_top_n3_w16_d128_e0,1,exponential,12682202,2,6341101.00,2,2,
arbitrated_top_n3_w16_d128_e0,2,exponential,19335140,29,666728.97,10,19,
arbitrated_top_n3_w16_d128_e0,3,exponential,26750360,1169,22883.11,67,789,
arbitrated_top_n3_w16_d128_e0,4,exponential,33957717,51220,662.98,82,49433,
arbitrated_top_n3_w16_d32_e0,1,exponential,3040872,2,1520436.00,2,2,
arbitrated_top_n3_w16_d32_e0,2,exponential,4645242,30,154841.40,15,15,
arbitrated_top_n3_w16_d32_e0,3,exponential,6454788,1139,5667.07,59,680,
arbitrated_top_n3_w16_d32_e0,4,exponential,8208410,3211,2556.34,74,2148,
arbitrated_top_n3_w32_d16_e0,1,exponential,2944702,2,1472351.00,2,2,
arbitrated_top_n3_w32_d16_e0,2,exponential,4498332,26,173012.77,13,13,
arbitrated_top_n3_w32_d16_e0,3,exponential,6250648,1222,5115.10,87,726,
arbitrated_top_n3_w32_d16_e0,4,exponential,7948810,7933,1001.99,118,5639,
arbitrated_top_n3_w8_d128_e0,1,exponential,6759405,2,3379702.50,2,2,
arbitrated_top_n3_w8_d128_e0,2,exponential,10139074,29,349623.24,10,19,
arbitrated_top_n3_w8_d128_e0,3,exponential,14286849,801,17836.27,51,565,
arbitrated_top_n3_w8_d128_e0,4,exponential,17858544,4613,3871.35,58,2174,
arbitrated_top_n3_w8_d128_e0,5,exponential,21430238,12765,1678.83,73,8420,
arbitrated_top_n3_w8_d16_e0,1,exponential,878882,2,439441.00,2,2,
arbitrated_top_n3_w8_d16_e0,2,exponential,1381482,23,60064.43,11,12,
arbitrated_top_n3_w8_d16_e0,3,exponential,1878094,221,8498.16,37,101,
arbitrated_top_n3_w8_d16_e0,4,exponential,2347602,2039,1151.35,46,1358,
arbitrated_top_n3_w8_d16_e0,5,exponential,2943484,6902,426.47,56,4182,
arbitrated_top_n4_w16_d32_e0,1,exponential,4105338,2,2052669.00,2,2,
arbitrated_top_n4_w16_d32_e0,2,exponential,6417626,30,213920.87,15,15,
arbitrated_top_n4_w16_d32_e0,3,exponential,8705222,876,9937.47,57,410,
arbitrated_top_n4_w16_d32_e0,4,exponential,10881510,8875,1226.09,74,4434,
arbitrated_top_n4_w16_d64_e0,1,exponential,8333062,2,4166531.00,2,2,
arbitrated_top_n4_w16_d64_e0,2,exponential,12996678,34,382255.24,17,17,
arbitrated_top_n4_w16_d64_e0,3,exponential,17612986,578,30472.29,63,267,
arbitrated_top_n4_w32_d32_e0,1,exponential,8030342,2,4015171.00,2,2,
arbitrated_top_n4_w32_d32_e0,2,exponential,12524538,30,417484.60,15,15,
arbitrated_top_n4_w32_d32_e0,3,exponential,16973146,1662,10212.48,91,892,
arbitrated_top_n4_w32_d32_e0,4,exponential,21216414,6700,3166.63,122,3819,
arbitrated_top_n5_w128_d8_e0,1,exponential,10074622,2,5037311.00,2,2,
arbitrated_top_n5_w128_d8_e0,2,exponential,15970525,19,840553.95,9,10,
arbitrated_top_n5_w128_d8_e0,3,exponential,21294010,3688,5773.86,273,2368,
arbitrated_top_n5_w64_d16_e0,1,exponential,9909886,2,4954943.00,2,2,
arbitrated_top_n5_w64_d16_e0,2,exponential,15709381,26,604206.96,13,13,
arbitrated_top_n5_w64_d16_e0,3,exponential,20945818,2246,9325.83,151,1302,
arbitrated_top_n5_w64_d16_e0,4,exponential,27167566,7329,3706.86,214,3155,
arbitrated_top_n5_w8_d32_e0,1,exponential,2896850,2,1448425.00,2,2,
arbitrated_top_n5_w8_d32_e0,2,exponential,4425240,30,147508.00,15,15,
arbitrated_top_n5_w8_d32_e0,3,exponential,6149072,1386,4436.56,47,757,
arbitrated_top_n5_w8_d32_e0,4,exponential,7819650,7400,1056.71,50,6069,
arbitrated_top_n5_w8_d32_e0,6,exponential,10947482,19765,553.88,71,7869,
bc57sensorsp1,1,exponential,542819,1,542819.00,1,1,
bc57sensorsp1,2,exponential,828562,3,276187.33,1,2,
bc57sensorsp1,3,exponential,1102840,6,183806.67,1,3,
bc57sensorsp1,4,exponential,1471429,12,122619.08,1,6,
bc57sensorsp1,5,exponential,1764494,18,98027.44,1,6,
bc57sensorsp1,6,exponential,2057558,24,85731.58,1,6,
bc57sensorsp1,7,exponential,2350622,31,75826.52,1,7,
bc57sensorsp1,8,exponential,2762218,56,49325.32,1,12,
bc57sensorsp1,9,exponential,3124991,66,47348.35,1,12,
bc57sensorsp1,10,exponential,3436841,77,44634.30,1,12,
bc57sensorsp1,11,exponential,3748692,94,39879.70,1,13,
bc57sensorsp1neg,1,exponential,542819,1,542819.00,1,1,
bc57sensorsp1neg,2,exponential,828562,3,276187.33,1,2,
bc57sensorsp1neg,3,exponential,1102840,6,183806.67,1,3,
bc57sensorsp1neg,4,exponential,1471429,12,122619.08,1,6,
bc57sensorsp1neg,5,exponential,1764494,18,98027.44,1,6,
bc57sensorsp1neg,6,exponential,2057558,24,85731.58,1,6,
bc57sensorsp1neg,7,exponential,2350622,31,75826.52,1,7,
bc57sensorsp1neg,8,exponential,2762218,56,49325.32,1,12,
bc57sensorsp1neg,9,exponential,3124991,66,47348.35,1,12,
bc57sensorsp1neg,10,exponential,3436841,77,44634.30,1,12,
bc57sensorsp1neg,11,exponential,3748692,94,39879.70,1,13,
bc57sensorsp1neg,12,exponential,4060542,116,35004.67,1,14,
bc57sensorsp1neg,13,exponential,4372392,134,32629.79,1,21,
bc57sensorsp1neg,14,exponential,4684242,147,31865.59,1,17,
bc57sensorsp1neg,15,exponential,4996092,181,27602.72,1,42,
bc57sensorsp1neg,16,exponential,5531666,389,14220.22,1,129,
bc57sensorsp1neg,17,exponential,5856665,453,12928.62,1,98,
bc57sensorsp1neg,18,exponential,6181664,432,14309.41,1,98,
bc57sensorsp1neg,19,exponential,6619593,520,12729.99,1,97,
bc57sensorsp1neg,20,exponential,6950229,568,12236.32,1,88,
bc57sensorsp1neg,21,exponential,7280865,932,7812.09,1,157,
bc57sensorsp1neg,22,exponential,7611501,831,9159.45,1,118,
bc57sensorsp1neg,23,exponential,7942138,1078,7367.47,1,157,
bc57sensorsp1neg,24,exponential,8272774,1030,8031.82,1,262,
bc57sensorsp1neg,25,exponential,8603410,1570,5479.88,1,278,
bc57sensorsp1neg,26,exponential,8934046,1958,4562.84,1,260,
bc57sensorsp1neg,27,exponential,9264682,2670,3469.92,1,332,
beemadd4b1,1,exponential,221380,1,221380.00,1,1,
beemadd4b1,2,exponential,357621,4,89405.25,1,3,
