instance,K,tag,growth_class,max_spd,min_spd,last_spd,peak_ratio,n_computed,completeness
pdtpmsns2,5,exponential,sub-exponential,714,328,714,2.176829268292683,2,partial
qspiflash_qflexpress_divfive-p036,5,exponential,exponential,2987,200,2987,14.935,4,partial
qspiflash_dualflexpress_divthree-p113,5,exponential,exponential,2860,232,2860,12.327586206896552,4,partial
arbitrated_top_n5_w64_d16_e0,5,exponential,sub-exponential,16054,5293,6568,3.033062535424145,5,complete
cmudme2,5,exponential,constant,101,54,101,1.8703703703703705,5,complete
qspiflash_dualflexpress_divthree-p034,5,exponential,exponential,2859,231,2859,12.376623376623376,4,partial
bj08amba2g4f3,5,exponential,exponential,7189,23,651,312.5652173913044,5,complete
arbitrated_top_n3_w32_d16_e0,5,exponential,sub-exponential,185687,1637,2329,113.43127672571778,5,complete
qspiflash_qflexpress_divfive-p121,5,exponential,exponential,2994,200,2994,14.97,4,partial
bc57sensorsp1,5,exponential,exponential,1287,94,1287,13.691489361702128,5,complete
arbitrated_top_n4_w16_d64_e0,5,exponential,sub-exponential,47929,4235,5443,11.317355371900826,5,complete
visprodcellp01,5,linear,constant,66,47,66,1.4042553191489362,2,partial
irstdme6,5,exponential,sub-exponential,643,216,643,2.9768518518518516,3,partial
vis_arrays_buf_bug,5,exponential,exponential,360557,23,231,15676.391304347826,5,complete
6s0,5,exponential,exponential,1771,118,1771,15.008474576271187,2,partial
cal4,5,exponential,exponential,1309,2,1309,654.5,2,partial
boblivear,5,exponential,exponential,506812,82,396782,6180.634146341464,5,complete
oski15a01b65s,5,linear,sub-exponential,77588,14547,77588,5.333608304117687,2,partial
arbitrated_top_n2_w64_d64_e0,5,exponential,constant,9128,8323,9032,1.0967199327165686,5,complete
shift_register_top_w16_d16_e0,5,exponential,exponential,56715,285,3111,199.0,4,partial
neclaftp1002,5,linear,constant,7880,7880,7880,1.0,2,partial
zipcpu-busdelay-p46,5,exponential,sub-exponential,1587,629,1587,2.5230524642289347,2,partial
oski2ub0i,5,exponential,exponential,98694,7,98694,14099.142857142857,2,partial
qspiflash_dualflexpress_divfive-p120,5,exponential,exponential,2820,233,2820,12.103004291845494,4,partial
zipcpu-busdelay-p00,5,exponential,sub-exponential,1589,630,1589,2.522222222222222,2,partial
pdtvisgigamax3,5,exponential,sub-exponential,547,62,547,8.82258064516129,2,partial
arbitrated_top_n3_w16_d32_e0,5,exponential,sub-exponential,4937,1634,2516,3.021419828641371,5,complete
arbitrated_top_n2_w128_d64_e0,5,exponential,sub-exponential,45329,16579,17449,2.7341214789794317,5,complete
oski1rub03i,5,linear,exponential,102021,7,102021,14574.42857142857,2,partial
power2bit8,5,linear,constant,15,9,9,1.6666666666666667,2,partial
zipcpu-busdelay-p47,5,exponential,sub-exponential,1586,628,1586,2.5254777070063694,2,partial
shift_register_top_w64_d8_e0,5,exponential,sub-exponential,1266,587,1266,2.1567291311754686,3,partial
qspiflash_dualflexpress_divthree-p121,5,exponential,exponential,2859,231,2859,12.376623376623376,4,partial
cal123,5,exponential,exponential,54145,2,54145,27072.5,2,partial
6s119,5,exponential,constant,18797,18762,18762,1.0018654727640977,5,complete
6s357r,5,exponential,sub-exponential,1455,192,1455,7.578125,3,partial
qspiflash_dualflexpress_divthree-p068,5,exponential,exponential,2859,231,2859,12.376623376623376,4,partial
circular_pointer_top_w8_d16_e0,5,exponential,exponential,13758,171,820,80.45614035087719,4,partial
shift_register_top_w128_d16_e0,5,exponential,constant,3640,2189,3640,1.6628597533120146,3,partial
oski15a14b14s,5,linear,exponential,30149,2746,30149,10.979242534595775,2,partial
6s317b14,5,exponential,sub-exponential,908,198,908,4.585858585858586,2,partial
6s54,5,exponential,constant,1659,1582,1582,1.0486725663716814,5,complete
bobtuint12neg,5,linear,constant,240,205,240,1.170731707317073,2,partial
qspiflash_dualflexpress_divthree-p012,5,exponential,exponential,2882,231,2882,12.476190476190476,4,partial
6s41,5,exponential,constant,921,913,913,1.0087623220153341,5,complete
6s7,5,exponential,sub-exponential,1656,555,1040,2.983783783783784,3,partial
bobmiterbm1or,5,linear,constant,1,1,1,1.0,2,partial
qspiflash_qflexpress_divfive-p104,5,exponential,exponential,2987,200,2987,14.935,4,partial
6s355rb08740,5,linear,constant,15042,15040,15040,1.0001329787234043,2,partial
bobcohdoptdcd4,5,exponential,exponential,14376794,88,14376794,163372.6590909091,3,partial
bobtuint21neg,5,linear,constant,240,205,240,1.170731707317073,2,partial
qspiflash_dualflexpress_divfive-p007,5,exponential,exponential,2835,233,2835,12.167381974248928,4,partial
arbitrated_top_n2_w8_d128_e0,5,exponential,sub-exponential,62290,2132,2781,29.21669793621013,5,complete
bc57sensorsp1neg,5,exponential,exponential,11619,94,11619,123.6063829787234,5,complete
139464p0,5,linear,constant,180,133,180,1.3533834586466165,2,partial
oski15a10b14s,5,exponential,sub-exponential,8310,2099,8310,3.959028108623154,2,partial
cal142,5,exponential,exponential,52278,2,52278,26139.0,2,partial
6s269r,5,exponential,exponential,1631,118,1631,13.822033898305085,2,partial
cal122,5,exponential,exponential,54606,2,54606,27303.0,2,partial
cal97,5,exponential,exponential,55679,2,55679,27839.5,2,partial
pdtvisblackjack0,5,linear,constant,103,103,103,1.0,2,partial
arbitrated_top_n4_w32_d32_e0,5,exponential,sub-exponential,11039,4234,5343,2.607227208313651,5,complete
oski15a01b79s,5,linear,sub-exponential,80142,14548,80142,5.508798460269452,2,partial
eijks386,5,exponential,sub-exponential,187,70,187,2.6714285714285713,3,partial
eijks444,5,exponential,sub-exponential,307,65,140,4.723076923076923,4,partial
qspiflash_qflexpress_divfive-p113,5,exponential,exponential,2805,199,2805,14.095477386934673,4,partial
