instance_name,category,formula_size,proofdoor_size,formula-pd-size-ratio,smallest_interpolant_size,largest_interpolant_size
pdtvsarmultip29,linear,78703,not started,,NA,NA,not started,not available,not available,,not available,not available,
pdtvsarmultip30,linear,69331,not started,,NA,NA,not started,not available,not available,,not available,not available,
picorv32-check-p05,linear,622882,2001,311.29,1,563,success (10/10),not available,not available,,not available,not available,
picorv32-check-p12,linear,622882,1899,328.01,1,618,success (10/10),not available,not available,,not available,not available,
picorv32-check-p19,linear,622882,439,1418.87,1,126,success (10/10),not available,not available,,not available,not available,
picorv32-check-p22,linear,622882,1851,336.51,1,757,success (10/10),not available,not available,,not available,not available,
pj2002,linear,1134197,95,11938.92,2,18,success (10/10),not available,not available,,not available,not available,
pj2003,linear,1134197,95,11938.92,2,18,success (10/10),not available,not available,,not available,not available,
pj2007,linear,562020,279,2014.41,4,61,success (10/10),not available,not available,,not available,not available,
pj2010,linear,597490,48,12447.71,3,7,success (10/10),not available,not available,,not available,not available,
pj2016,linear,1126542,2540,443.52,9,862,success (10/10),not available,not available,,not available,not available,
pj2018,linear,853776,2963,288.15,14,1128,success (10/10),not available,not available,,not available,not available,
power2bit128,linear,3282,53,61.92,1,8,success (10/10),not available,not available,,not available,not available,
power2bit8,linear,2354,34,69.24,1,4,success (10/10),not available,not available,,not available,not available,
prodcellp0neg,linear,40819,960,42.52,16,199,success (10/10),not available,not available,,not available,not available,
prodcellp1,linear,40819,957,42.65,16,199,success (10/10),not available,not available,,not available,not available,
prodcellp2neg,linear,40819,957,42.65,16,199,success (10/10),not available,not available,,not available,not available,
prodcellp4,linear,49099,423,116.07,4,64,success (10/10),not available,not available,,not available,not available,
productioncellp0,linear,40819,960,42.52,16,199,success (10/10),not available,not available,,not available,not available,
qspiflash_dualflexpress_divfive-p022,linear,95478,75,,NA,NA,partial done (3/10),not available,not available,,not available,not available,
qspiflash_dualflexpress_divfive-p054,linear,95478,42,2273.29,1,8,success (10/10),not available,not available,,not available,not available,
qspiflash_dualflexpress_divfive-p128,linear,95478,1256,76.02,2,713,success (10/10),not available,not available,,not available,not available,
qspiflash_dualflexpress_divfive-p143,linear,95577,8,,NA,NA,partial done (1/10),not available,not available,,not available,not available,
qspiflash_dualflexpress_divthree-p046,linear,94949,6498,,NA,NA,partial done (8/10),not available,not available,,not available,not available,
qspiflash_dualflexpress_divthree-p143,linear,95048,6,,NA,NA,partial done (1/10),not available,not available,,not available,not available,
qspiflash_dualflexpress_divthree-p164,linear,94949,54,1758.31,1,12,success (10/10),not available,not available,,not available,not available,
